ID;Módulo;Actor;Tipo;Requerimiento;Criterio de aceptación;Prioridad;Entregable objetivo;Depende de;Estado;Mockup
RF-AH-07;M5 Pagos y cobros;Admin de hotel;Funcional;Añadir cobros adicionales por daños con monto motivo y observación;El cobro adicional exige los 3 campos y se suma al total de la reserva;Media;6 - Firebase DB;RF-AH-06;Pendiente;Sí
RF-CL-05;M5 Pagos y cobros;Cliente;Funcional;Recibir notificación cuando se le hace el cobro;El cliente recibe una notificación push con el monto cobrado;Alta;5 - Notificaciones;RF-AH-06;Pendiente;Parcial
RF-CL-04;M6 Checkout y valoraciones;Cliente;Funcional;Hacer checkout y registrar valoración y observaciones obligatorias;No se puede completar el checkout sin valoración y observaciones;Alta;6 - Firebase DB;RF-CL-03;Pendiente;Sí
RF-CL-07;M7 Chat;Cliente;Funcional;Chat privado con el hotel entre la confirmación de la reserva y el fin del checkout;El chat no está disponible antes de confirmar la reserva ni después del checkout;Alta;6 - Firebase DB;RF-CL-03;Pendiente;Parcial
RF-AH-09;M7 Chat;Admin de hotel;Funcional;Responder los chats de clientes con reserva activa;El hotel ve solo los chats de reservas activas y puede responder;Alta;6 - Firebase DB;RF-CL-07;Pendiente;Sí
RF-GN-04;M7 Chat;Sistema;Funcional;Los mensajes de chat persisten con fecha y hora;Al reabrir el chat los mensajes anteriores se muestran con su fecha y hora;Alta;6 - Firebase DB;RF-CL-07;Pendiente;Sí
RF-CL-08;M8 Taxi;Cliente;Funcional;Solicitar el taxi gratuito al aeropuerto si la reserva alcanza el monto mínimo;La opción aparece solo si el monto de la reserva alcanza el mínimo del hotel es opcional y el cliente indica el aeropuerto destino;Alta;7 - Prefinal;RF-CL-04;Pendiente;No
RF-TX-03;M8 Taxi;Taxista;Funcional;Ver hoteles y pedidos disponibles;El taxista habilitado ve la lista de pedidos en estado SOLICITADO;Alta;7 - Prefinal;RF-CL-08;Pendiente;No
RF-TX-04;M8 Taxi;Taxista;Funcional;Aceptar un pedido que deja de estar disponible para los demás;Al aceptar el servicio pasa a ASIGNADO y desaparece de la lista de los otros taxistas;Alta;7 - Prefinal;RF-TX-03;Pendiente;No
RF-TX-05;M8 Taxi;Taxista;Funcional;Registrar automáticamente su ubicación durante el servicio activo;Con un servicio activo la ubicación se actualiza periódicamente sin intervención del taxista;Alta;7 - Prefinal;RF-TX-04;Pendiente;No
RF-TX-06;M8 Taxi;Taxista;Funcional;Actualizar los estados del servicio;El taxista avanza el servicio por SOLICITADO ASIGNADO EN_CAMINO EN_TRASLADO y FINALIZADO;Alta;7 - Prefinal;RF-TX-04;Pendiente;No
RF-TX-07;M8 Taxi;Taxista;Funcional;Registrar FINALIZADO únicamente escaneando el QR del cliente;El estado FINALIZADO no se puede fijar manualmente y solo se alcanza por escaneo del QR;Alta;7 - Prefinal;RF-CL-10;Pendiente;No
RF-CL-09;M8 Taxi;Cliente;Funcional;Ver datos vehículo valoración y ubicación del taxista en un mapa;El cliente ve nombre vehículo placa valoración y la posición del taxista actualizándose en el mapa;Alta;7 - Prefinal;RF-TX-05;Pendiente;No
RF-CL-10;M8 Taxi;Cliente;Funcional;Recibir el QR del hotel y mostrarlo al llegar;El cliente visualiza un QR asociado al servicio de taxi;Alta;7 - Prefinal;RF-CL-08;Pendiente;No
RF-CL-11;M8 Taxi;Cliente;Funcional;Calificar al taxista al finalizar el servicio;Al pasar el servicio a FINALIZADO la app pide la calificación del taxista;Media;7 - Prefinal;RF-TX-07;Pendiente;No
RF-AH-05;M8 Taxi;Admin de hotel;Funcional;Ver el estado del taxista asignado en camino a recoger y llegó al destino;El hotel ve el estado actualizado del servicio de taxi de sus huéspedes;Media;7 - Prefinal;RF-TX-06;Pendiente;Sí
RF-AH-08;M9 Reportes y logs;Admin de hotel;Funcional;Reporte de ingresos por servicios adicionales ordenado de menor a mayor;El reporte lista los servicios ordenados ascendentemente por monto total generado;Media;7 - Prefinal;RF-AH-04;Pendiente;Corregir orden
RF-SA-04;M9 Reportes y logs;Superadmin;Funcional;Generar el reporte de reservas por hotel;El reporte agrupa las reservas por hotel;Media;7 - Prefinal;RF-CL-03;Pendiente;No
RF-SA-05;M9 Reportes y logs;Superadmin;Funcional;Consultar el visor de logs de eventos del sistema;El Superadmin ve los eventos registrados con fecha actor y tipo de evento;Media;7 - Prefinal;RNF-04;Pendiente;No
RNF-01;M10 Calidad;Sistema;No funcional;Las contraseñas nunca se almacenan en texto plano;Ninguna colección contiene contraseñas legibles y la autenticación la gestiona Firebase Auth;Alta;6 - Firebase Auth;;Pendiente;NA
RNF-02;M10 Calidad;Sistema;No funcional;Las operaciones están restringidas según el rol autenticado;Un usuario no puede ejecutar operaciones de otro rol aunque manipule la petición;Alta;6 - Firebase DB;;Pendiente;NA
RNF-03;M10 Calidad;Sistema;No funcional;Un cliente solo accede a sus propios datos;Un cliente no puede leer reservas chats pagos ni servicios de taxi de otro cliente;Alta;6 - Firebase DB;RNF-02;Pendiente;NA
RNF-04;M10 Calidad;Sistema;No funcional;El sistema registra los eventos relevantes en logs consultables por el Superadmin;Las operaciones relevantes generan un registro en la colección logs;Media;6 - Firebase DB;;Pendiente;NA
RNF-05;M10 Calidad;Sistema;No funcional;La ubicación del taxista se actualiza periódicamente durante un servicio activo;Con un servicio activo se observan actualizaciones sucesivas de la ubicación;Alta;7 - Prefinal;RF-TX-05;Pendiente;NA
RNF-06;M10 Calidad;Sistema;No funcional;Si la API de taxistas está caída la app lo informa sin afectar el resto del sistema;Con la API detenida la app muestra un aviso y las reservas siguen funcionando;Alta;7 - Prefinal;RNF-09;Pendiente;NA
RNF-07;M10 Calidad;Sistema;No funcional;La app móvil es Android nativa en Java con versión mínima Android 14 API 34;El proyecto compila con minSdk 34 y está escrito en Java;Alta;3 - UI;;Pendiente;NA
RNF-08;M10 Calidad;Sistema;No funcional;La persistencia de la app principal es una base de datos NoSQL;El dominio persiste en Firestore y Realtime Database;Alta;6 - Firebase DB;;Pendiente;NA
RNF-09;M10 Calidad;Sistema;No funcional;La app móvil no accede directamente a la base de datos del sistema de taxistas;Toda información de taxistas llega por la API REST vía TaxiRepository;Alta;7 - Prefinal;;Pendiente;NA
